PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
Retail Store,98104,DOWNTOWN,1910,1,6,0,86204,Retail Store,44,3241917,2235899,1006018,69
Warehouse,98134,GREATER DUWAMISH,1985,1,2,0,145158,"Non-Refrigerated Warehouse, Office, Other",52,8384523,7062138,1322385,119
Large Office,98134,GREATER DUWAMISH,1951,1,2,0,112896,"Office, Parking",93,10287986,8429189,1858797,157
Distribution Center,98134,GREATER DUWAMISH,1960,1,1,0,110613,"Distribution Center, Office",9,1015060,1015060,0,7
Warehouse,98103,GREATER DUWAMISH,1951,1,4,0,149881,"Non-Refrigerated Warehouse, Office",16,2417401,705059,1712342,96
Warehouse,98121,GREATER DUWAMISH,1951,1,3,0,98220,Non-Refrigerated Warehouse,50,6468090,5813591,654498,75
Distribution Center,98134,GREATER DUWAMISH,1970,1,1,0,84420,"Distribution Center, Office, Retail Store",35,2848317,2848317,0,20
Distribution Center,98134,GREATER DUWAMISH,1961,1,1,0,73335,"Distribution Center, Parking",71,5197118,2606839,2590279,156
Distribution Center,98134,GREATER DUWAMISH,1928,1,2,0,56876,"Distribution Center, Office, Retail Store",32,1791716,1011283,780432,48
Warehouse,98134,GREATER DUWAMISH,1931,1,2,0,61200,Non-Refrigerated Warehouse,80,4912143,1782902,3129241,179
Distribution Center,98134,GREATER DUWAMISH,1987,1,1,0,111908,Distribution Center,14,1555420,1050508,504912,34
Warehouse,98199,MAGNOLIA / QUEEN ANNE,1974,1,3,0,56259,"Non-Refrigerated Warehouse, Office, Retail Store",42,2346572,817697,1528874,87
Large Office,98109,MAGNOLIA / QUEEN ANNE,1998,1,5,0,110524,"Office, Other, Parking",64,6859198,6859197,0,48
Small- and Mid-Sized Office,98121,DOWNTOWN,1902,1,3,0,76893,"Office, Parking, Retail Store",113,12029600,8209260,3820339,260
Retail Store,98101,DOWNTOWN,1929,1,4,0,78920,Retail Store,105,8303666,7177346,1126320,110
Mixed Use Property,98122,EAST,1908,1,4,0,55520,"Office, Performing Arts, Restaurant, Retail Store, Self-Storage Facility",66,3686962,973907,2713055,151
Retail Store,98101,DOWNTOWN,1940,1,3,0,83118,Retail Store,54,2443142,2209419,233722,28
Retail Store,98101,DOWNTOWN,1924,1,3,0,77555,Retail Store,106,7802206,7802052,153,54
Small- and Mid-Sized Office,98121,DOWNTOWN,1909,1,6,0,51218,"Office, Restaurant",56,2886142,2886141,0,20
Large Office,98101,DOWNTOWN,1910,1,7,0,122356,"Data Center, Office, Retail Store",41,4585070,4371815,213255,42
Small- and Mid-Sized Office,98104,DOWNTOWN,1921,1,3,0,52298,Office,39,1968655,1968655,0,14
University,98122,CENTRAL,1916,1,2,0,60122,"College/University, Parking",12,690530,593029,97500,9
Other,98104,GREATER DUWAMISH,1939,1,2,0,58492,Other,27,1594422,717806,876616,52
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1907,1,6,0,62370,"Office, Restaurant",73,4353025,4353024,0,30
Warehouse,98134,GREATER DUWAMISH,1960,1,1,0,73296,"Non-Refrigerated Warehouse, Parking",30,2356377,1117577,1238800,74
Other,98134,GREATER DUWAMISH,1985,1,1,0,66133,"Non-Refrigerated Warehouse, Office, Other",82,6345010,5354420,990589,90
Warehouse,98134,GREATER DUWAMISH,1952,1,2,0,115668,"Data Center, Non-Refrigerated Warehouse, Office, Retail Store",31,3534691,1657935,1876755,111
Other,98108,GREATER DUWAMISH,1970,1,1,0,141686,Other,44,6673138,6673137,0,47
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1950,1,1,0,93610,"Data Center, Office",61,6235947,3877758,2358189,152
Large Office,98108,GREATER DUWAMISH,1973,1,2,0,156188,"Office, Parking",48,6843855,6557481,286373,61
